ŒUVRE 1	ŒUVRE 2	NUM	PERCENTAGE	TEXTE 1	TEXTE 2	INTRA
Périodiques et collectifs 1943-1976	Le repos du cavalier 1958	13	1	Cela a commencé par cette souris qu’un chat paumait d’une patte négligente dans un verger de Chapelle.	Cela a commencé par cette souris qu’un chat paumait d’une patte négligente dans un verger de Chapelle.	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	4	1	Cela aussi, comme tout le reste ?	Cela aussi, comme tout le reste ?	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	11	1	Cela commence par les dragons aux routes du dimanche. – Tu selles, cette après-midi ? – Pourquoi pas ?	Cela commence par les dragons aux routes du dimanche. — Tu selles, cette après-midi ? — Pourquoi pas ?	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	11	1	Cela commence par les dragons aux routes du dimanche. – Tu selles, cette après-midi ? – Pourquoi pas ?	Cela commence par les dragons aux routes du dimanche. — Tu selles, cette après-midi ? — Pourquoi pas ?	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	11	1	Cela commence par les dragons aux routes du dimanche. – Tu selles, cette après-midi ? – Pourquoi pas ?	Cela commence par les dragons aux routes du dimanche. – Tu selles, cette après-midi ? – Pourquoi pas ?	False
JOURNAL	Feuillets 1929	17	1	Cela est d’une extrême saveur ; cela me sert aussitôt de proie – une proie que je n’aurais ni pu ni su capturer vivante.	Cela est d’une extrême saveur, cela me sert aussitôt de proie – une proie que je n’aurais ni pu ni su capturer vivante.	False
Périodiques et collectifs 1915-1942	JOURNAL	47	0.5949	Cela est particulièrement sensible dans ce décalage temporel qui devrait se manifester brutalement durant la nouvelle soirée chez les Guermantes, où la plupart des invités ne ressemblent plus à ce qu’ils furent durant les précédentes, et qui, au lieu de produire un saisissement chez le lecteur, n’en fait naître, pour ainsi dire, que le frisson avant-coureur, tant cet effet qui eût dû être d’ensemble, se va perdant en mille détails, selon une sorte de fatigue ou de mollesse.	Journal  ce décalage temporel qui doit lui apparaître d’un seul coup durant la nouvelle soirée des Guermantes où la plupart des invités ne ressemblent plus à ce qu’ils furent durant les précédentes – et qui au lieu de produire un saisissement chez le lecteur, n’en fait naître pour ainsi dire que le frisson avant-coureur, tant cet effet, qui eût dû être d’ensemble, s’en va perdant en mille détails relatifs à chaque personnage successivement considéré – avec  une sorte de fatigue ou de mollesse.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	18	0.7826	Cela est vrai certains jours peut-être, mais ce soir la route cernée par deux ornières d’eau n’est plus qu’une mince croûte de terre entre ciel et ciel.	Vérité certains jours peut-être, mais non ce soir : la route cernée par deux ornières d’eau n’est plus qu’une mince croûte de terre entre ciel et ciel.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	9	1	Cela fait peur pour commencer, et puis on en devient presque heureux.	Cela fait peur pour commencer, et puis on en devient presque heureux.	False
Périodiques et collectifs 1943-1976	Haut-Jorat 1949	6	1	Cela se fait d’une manière insensible et douce.	Cela se fait d’une manière insensible et douce.	False
Périodiques et collectifs 1943-1976	Haut-Jorat 1949	6	1	Cela se fait d’une manière insensible et douce.	Cela se fait d’une manière insensible et douce.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	6	1	Cela se fait d’une manière insensible et douce.	Cela se fait d’une manière insensible et douce.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	6	1	Celle de Clerc n’échappe point à pareille loi.	Celle de Clerc n’échappe point à pareille loi.	False
Périodiques et collectifs 1943-1976	Les fleurs et les saisons	13	1	Celle des flores, dans son dépouillement, sa solitude, n’existe, on dirait, que par soi et pour soi.	Celle des flores, dans son dépouillement, sa solitude, n’existe, on dirait, que par soi et pour soi.	False
Requiem 1967	Périodiques et collectifs 1943-1976	13	0.7647	Celle du corps, celle du cœur, et la voix de nos morts s’élève aussitôt dans une ample et soudaine plénitude.	Celle du corps, celle du cœur, et la voix de nos morts s’élève aussitôt dans une sourde et soudaine plénitude.	False
Périodiques et collectifs 1943-1976	Campagne perdue 1972	31	0.775	Celle du nord vers les dragons de Chesalles et de Villarzel, le chemin d’ouest vers ceux de Chapelle ou de Saint-Cierges, l’asphalte au sud jusqu’à Forel, jusqu’au lac solitaire où les cimes de Savoie baignent leur neige entre les roseaux secs et les barques abandonnées ?	Celle du nord vers les dragons de Chesalles et de Villarzel, le chemin d’ouest vers ceux de Chapelle ou de Saint-Cierges, l’asphalte au sud jusqu’à Forel, jusqu’au petit lac solitaire où les cimes de Savoie baignent leurs neiges entre les roseaux secs et les barques abandonnées ?	False
Périodiques et collectifs 1915-1942	Les fleurs et les saisons	22	1	Celui qui suffoque enfin sous le délice de cette floraison spirituelle faut-il lui reprocher comme un crime la pensée qui le hante, née sournoisement d’une attente jamais lasse ?	Celui qui suffoque enfin sous le délice de cette floraison spirituelle faut-il lui reprocher comme un crime la pensée qui le hante, née sournoisement d’une attente jamais lasse ?	False
Périodiques et collectifs 1943-1976	Les fleurs et les saisons	22	1	Celui qui suffoque enfin sous le délice de cette floraison spirituelle, faut-il lui reprocher comme un crime la pensée qui le hante, née sournoisement d’une attente jamais lasse ?	Celui qui suffoque enfin sous le délice de cette floraison spirituelle faut-il lui reprocher comme un crime la pensée qui le hante, née sournoisement d’une attente jamais lasse ?	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	22	1	Celui qui suffoque enfin sous le délice de cette floraison spirituelle, faut-il lui reprocher comme un crime la pensée qui le hante, née sournoisement d’une attente jamais lasse ?	Celui qui suffoque enfin sous le délice de cette floraison spirituelle faut-il lui reprocher comme un crime la pensée qui le hante, née sournoisement d’une attente jamais lasse ?	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	25	1	Celui-ci, tout proche, au sommeil : sa lèvre pend avec une goutte de salive, sa cravate a glissé dans l’échancrure du gilet, la cravate verte et violette nouée sur un squelette de celluloïd.	Celui-ci, tout proche, au sommeil : sa lèvre pend avec une goutte de salive, sa cravate a glissé dans l’échancrure du gilet, la cravate verte et violette nouée sur un squelette de celluloïd.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	22	0.3548	Celui-là fait d’une sorte d’absence essentielle et blême d’où s’élevaient pour y redisparaître un arbre, puis une haie, un oiseau, puis un homme, un labour, une charrue, un cheval… Celui-ci fait d’une autre absence : le blanc du papier nu où paraissent, jalonnant de grands espaces vides selon les exigences d’une « mise en scène spirituelle exacte » (ainsi que l’indique Mallarmé lui-même) des mots surgis un à un du néant, par lui cernés de toutes parts, prêts à s’y redissoudre.	Celui-là fait d’une sorte d’absence essentielle et blême d’où s’élevaient pour y redisparaître un arbre, puis une haie, un oiseau, puis un homme, un labour, une charrue, un cheval...	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	38	0.6129	Celui-là fait d’une sorte d’absence essentielle et blême d’où s’élevaient pour y redisparaître un arbre, puis une haie, un oiseau, puis un homme, un labour, une charrue, un cheval… Celui-ci fait d’une autre absence : le blanc du papier nu où paraissent, jalonnant de grands espaces vides selon les exigences d’une « mise en scène spirituelle exacte » (ainsi que l’indique Mallarmé lui-même) des mots surgis un à un du néant, par lui cernés de toutes parts, prêts à s’y redissoudre.	Celui-ci fait d’une autre absence : le blanc du papier nu où paraissent, jalonnant de grands espaces vides selon les exigences d’une « mise en scène spirituelle exacte » (ainsi que l’indique Mallarmé lui-même) des mots surgis un à un du néant, par lui cernés de toutes parts, prêts à s’y redissoudre.	False
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	3	1	Cendre Aujourd’hui, no ,  juillet , pp. -.	Cendre Aujourd’hui, no ,  juillet , pp. -.	True
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	9	1	Cent bras de soleil et votre ombre, une creuse statue de poussière.	Cent bras de soleil et votre ombre, une creuse statue de poussière.	False
Pour un moissonneur 1941	Périodiques et collectifs 1915-1942	18	1	Cent fois j’ai repris la même route, sachant bien pourtant que ce ne serait plus jamais la même, qu’elle n’irait jamais plus vers toi.	Cent fois j’ai repris la même route, sachant bien pourtant que ce ne serait plus jamais la même, qu’elle n’irait jamais plus vers toi.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	28	1	Cent mille hommes – qui vivent – peuvent répondre par un éclat de rire, et ils auront raison ; devant eux nous n’avons que notre silence – qui n’est pas une arme ; et nous n’avons pas l’habitude de la victoire.	Cent mille hommes – qui vivent – peuvent répondre par un éclat de rire, et ils auront raison ; devant eux nous n’avons que notre silence – qui n’est pas une arme, et nous n’avons pas l’habitude de la victoire.	False
Périodiques et collectifs 1943-1976	Campagne perdue 1972	12	1	Cependant entre l’Aigle et le Sagittaire, je retrouve les taches diffuses déjà devinées voici des mois.	Cependant entre l’Aigle et le Sagittaire, je retrouve les taches diffuses déjà devinées voici des mois.	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	6	0.3	Cependant, avide et plein d’appétit que j’étais devant l’espace […] À voix basse, une fois encore, je relis ce feuillet d’une de vos lettres, mon cher ami.	Cependant, avide et plein d’appétit que j’étais devant l’espace...	False
Périodiques et collectifs 1915-1942	Air de la solitude 1945	11	0.5	Cependant, avide et plein d’appétit que j’étais devant l’espace […] À voix basse, une fois encore, je relis ce feuillet d’une de vos lettres, mon cher ami.	À voix basse, une fois encore, je relis ce feuillet d’une de vos lettres, mon cher ami.	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	10	0.3571	Cependant, avide et plein d’appétit que j’étais devant l’espace…   [Le reste du texte est dactylographié] A voix basse, une fois encore, je relis ce feuillet d’une de vos lettres, mon cher ami.	À voix basse, une fois encore, je relis ce feuillet d’une de vos lettres, mon cher ami.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1915-1942	18	0.6666	Cependant, avide et plein d’appétit que j’étais devant l’espace…   [Le reste du texte est dactylographié] A voix basse, une fois encore, je relis ce feuillet d’une de vos lettres, mon cher ami.	Cependant, avide et plein d’appétit que j’étais devant l’espace […] À voix basse, une fois encore, je relis ce feuillet d’une de vos lettres, mon cher ami.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	9	1	Certaines formes de vie, ah de plus en plus je m’en persuade !	Certaines formes de vie, ah de plus en plus je m’en persuade !	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	11	1	Certains s’y refusent, et leur secret désir c’est de faire un absolu de chaque seconde.	Certains s’y refusent, et leur secret désir c’est de faire un absolu de chaque seconde.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	18	0.3913	Certes on y trouve aussi nombre de personnages dessinés avec une sorte d’humour tendre, mais il n’y a plus ce fond de féerie éparse qui rendait supportables par instant les figures les moins amènes.	Certes, on y trouve, comme dans les Châteaux, nombre de personnages dessinés avec une sorte d’humour tendre (cet humour que certains critiques, inexplicablement, n’avaient su déchiffrer), mais il n’y a plus ce fond de féerie éparse qui rendait supportable par instant jusqu’au banquier Laroche avec ses mornes yeux d’anthracite.	True
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	31	1	certes, elle demeure parmi nous, mais depuis certain jour de mai , c’est la nôtre maintenant qui chancelle, doute, s’épuise, minée au plus profond d’elle-même par une incurable blessure – il faudrait dire indéfinissable, tant ce malaise grandissant est subtil et secret.	certes, elle demeure parmi nous, mais depuis certain jour de mai , c’est la nôtre maintenant qui chancelle, doute, s’épuise, minée au plus profond d’elle-même par une incurable blessure – il faudrait dire indéfinissable, tant ce malaise grandissant est subtil et secret.	True
Périodiques et collectifs 1943-1976	Haut-Jorat 1949	38	0.7755	Certes, l’amour des fleurs existe ailleurs qu’au Jorat ; et l’on trouve ailleurs aussi, n’est-ce pas, de ces jardins paysans ou vignerons qui dès la fin de l’hiver jusqu’au premier gel vous proposent chaque jour avec une simplicité non jouée, un naturel inimitable, une fête de couleurs et d’odeurs aussi personnelle qu’un visage humain ou une voix.	Certes, l’amour des fleurs existe ailleurs qu’au Jorat ; et l’on trouve ailleurs aussi, sans nul doute, de ces jardins paysans ou vignerons qui dès la fin de l’hiver jusqu’au premier gel vous proposent chaque jour, avec une simplicité non jouée, un naturel inimitable, une fête de couleurs aussi personnelle qu’un visage humain ou une voix.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	38	0.7755	Certes, l’amour des fleurs existe ailleurs qu’au Jorat ; et l’on trouve ailleurs aussi, sans nul doute, de ces jardins paysans ou vignerons qui dès la fin de l’hiver jusqu’au premier gel vous proposent chaque jour avec une simplicité non jouée, un naturel inimitable, une fête de couleurs aussi personnelle qu’un visage humain ou une voix.	Certes, l’amour des fleurs existe ailleurs qu’au Jorat ; et l’on trouve ailleurs aussi, n’est-ce pas, de ces jardins paysans ou vignerons qui dès la fin de l’hiver jusqu’au premier gel vous proposent chaque jour avec une simplicité non jouée, un naturel inimitable, une fête de couleurs et d’odeurs aussi personnelle qu’un visage humain ou une voix.	True
Périodiques et collectifs 1943-1976	Haut-Jorat 1949	43	1	Certes, l’amour des fleurs existe ailleurs qu’au Jorat ; et l’on trouve ailleurs aussi, sans nul doute, de ces jardins paysans ou vignerons qui dès la fin de l’hiver jusqu’au premier gel vous proposent chaque jour avec une simplicité non jouée, un naturel inimitable, une fête de couleurs aussi personnelle qu’un visage humain ou une voix.	Certes, l’amour des fleurs existe ailleurs qu’au Jorat ; et l’on trouve ailleurs aussi, sans nul doute, de ces jardins paysans ou vignerons qui dès la fin de l’hiver jusqu’au premier gel vous proposent chaque jour, avec une simplicité non jouée, un naturel inimitable, une fête de couleurs aussi personnelle qu’un visage humain ou une voix.	False
Périodiques et collectifs 1943-1976	Périodiques et collectifs 1943-1976	24	0.8275	Certes, le regard du public ressemble souvent, pourrait-on dire, à une chatte qui chérit les avances, qui veut être tout aussitôt caressée et choisit bien vite, comme d’instinct, les toiles-coussins les plus molles – pour y dormir.	Certes, le regard du public est une chatte qui chérit les avances, qui veut être tout aussitôt caressée et choisit bien vite, comme d’instinct, les toiles-coussins les plus molles – pour y dormir.	True
Périodiques et collectifs 1943-1976	Haut-Jorat 1949	18	0.3103	Certes, mais d’ici, j’ose à peine le dire, elles apparaissent comme ce surplus de matériaux qui demeure après l’achèvement d’un édifice – pierre, chaux, plâtre – et auquel l’architecte (ici le Temps) rêve de donner forme en l’incorporant à quelque construction nouvelle… C’est là, sur cette épaule de la « Croix », que lèvent, et mûrissent les plus beaux froments, car tout ce versant de colline est d’une riche terre à blé.	C’est là, sur cette épaule de la Croix, que les plus beaux froments lèvent et mûrissent, car tout ce versant de colline est d’une riche terre à blé.	False
Petit traité de la marche en plaine 1932	Périodiques et collectifs 1915-1942	12	1	Certes, qui y a-t-il qui ne tire de l’écroulement d’autrui un surcroît de sa propre force ?	Certes, qui y a-t-il qui ne tire de l’écroulement d’autrui un surcroît de sa propre force ?	False
JOURNAL	JOURNAL	8	0.3076	Ces       Le passage de : « Musique salutaire » à : « la plus dangereuse des feintes – mais non » est publié, avec quelques modifications, dans Feuillets, Ecrits I, p. .	Le passage de : « Je suis si divisé » à : « un monde perdu » est publié, avec quelques modifications, dans Feuillets, Ecrits I, p. .	True
JOURNAL	JOURNAL	7	0.3888	Ces       Le passage de : « Musique salutaire » à : « la plus dangereuse des feintes – mais non » est publié, avec quelques modifications, dans Feuillets, Ecrits I, p. .	» est publié, avec quelques modifications, dans Feuillets, Ecrits I, p. .	True
JOURNAL	Feuillets 1929	2	0.3333	ces alouettes délirantes au cœur de l’éther.	Au cœur de l’éther déjà !	False
JOURNAL	Feuillets 1929	2	0.4	ces alouettes délirantes au cœur de l’éther.	ces alouettes délirantes.	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	23	1	Ces arbres à l’instant de mourir se souvenaient-ils peut-être de l’adolescent qui les avait aimés et les caressait jadis avant de s’adosser pour une heure d’ombre à leurs troncs fraternels ?	Ces arbres à l’instant de mourir se souvenaient-ils peut-être de l’adolescent qui les avait aimés et les caressait jadis avant de s’adosser pour une heure d’ombre à leurs troncs fraternels ?	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	37	1	Ces arbres se rappelaient notre amitié ; ils se rappelaient mon pas près d’eux dans la nuit d’été, quand hors de l’auberge basse, loin de mon verre toujours seul parmi les fumées, je regardais là-haut scintiller et fuir entre les rives de feuillage obscur un mince ruisseau d’étoiles.	Ces arbres se rappelaient notre amitié ; ils se rappelaient mon pas près d’eux dans la nuit d’été, quand hors de l’auberge basse, loin de mon verre toujours seul parmi les fumées, je regardais là-haut scintiller et fuir entre les rives de feuillage obscur un mince ruisseau d’étoiles.	False
JOURNAL	JOURNAL	3	0.6	Ces crochets sont de Gustave Roud.	Les crochets sont de Gustave Roud.	True
JOURNAL	JOURNAL	37	0.5068	Ces derniers jours, pendant que je composais mon poème, j’ai eu durant d’assez courts instants une de ces intuitions (ce mot prétentieux à défaut d’un autre plus exact) qui m’a permis de voir sous un angle nouveau le monde, ou plutôt d’y surprendre, comme y à demi engagé,      Au-dessus de la ligne : « chez ».	Ces derniers jours, pendant que je composais mon poème, j’ai eu, oh durant d’assez courts instants, une de ces « intuitions » (j’emploie ce mot prétentieux à défaut d’un autre plus exact) qui m’a permis de voir sous un angle nouveau le monde, ou plutôt d’y surprendre, comme y à demi engagé, un autre univers où je trouve place, et dans le même temps je me persuadais – ou simplement me rendais compte – que ce sentiment, cette vision n’était pas transmissible, parce qu’échappant à une traduction par le langage.	True
Périodiques et collectifs 1915-1942	Périodiques et collectifs 1915-1942	14	1	Ces deux corps confondus lèvre à lèvre, cet homme saisi par le sommeil, – et moi-même, si l’ombre osait.	Ces deux corps confondus lèvre à lèvre, cet homme saisi par le sommeil, – et moi-même, si l’ombre osait.	True
Périodiques et collectifs 1943-1976	Campagne perdue 1972	35	0.8536	Ces gris d’argent et de fumée, le vert de l’herbe bouclée et des jeunes froments, les taches roses des toitures et leurs coulées de rouge et d’orange, c’est l’accord profond de cet avant-printemps du Haut-Jorat, si profond qu’il semble éveiller en vous des souvenirs plus anciens que votre vie.	Ce gris d’argent et de fumée, le vert de l’herbe bouclée et des jeunes froments, les taches roses des toitures et leurs coulées de rouge et d’orangé, c’est l’accord profond de cet avant-printemps du Haut-Jorat, si profond qu’il semble éveiller en vous des souvenirs plus anciens que votre vie.	False
Périodiques et collectifs 1943-1976	Air de la solitude 1945	17	1	Ces haches entre Missy et Saint-Aubin qui ont renversé la haute muraille murmurante, je les sens en moi continuer sourdement leur saccage.	Ces haches entre Missy et Saint-Aubin qui ont renversé la haute muraille murmurante, je les sens en moi continuer sourdement leur saccage.	False
Requiem 1967	Périodiques et collectifs 1943-1976	23	0.6388	Ces heures qui se fanent une à une derrière moi comme les bouquets jetés par les enfants dans la poussière, je sais qu’elles fleurissent ensemble au jardin sans limites où tu te penches pour toujours.	Les heures qui se fanent une à une derrière moi comme les bouquets de violettes et de sylvies jetées par les enfants dans la poussière, je sais qu’elles fleurissent toutes ensemble au jardin sans limites où tu te penches pour toujours.	False
JOURNAL	Feuillets 1929	24	0.3157	Ces ivresses de valet ; cet autre (je l’avais vu un jour de moisson, le torse nu, plonger ses bras dans l’eau glacée d’une fontaine) embrassant Pierre malade (si tu avais « cané »…) et ce mot profond : un homme n’est jamais tout mauvais ?	Ces ivresses de valet, cet autre (je l’avais vu un jour de moisson, le torse nu, plonger les bras dans l’eau glacée d’une fontaine) embrassant L. malade : si tu avais passé… et ce mot si simple : un homme n’est jamais tout mauvais… Est-ce le sentiment de mon manque de concentration spirituelle qui me force d’admirer semblable continuité dans la pensée et l’action, cet homme enfin qui ne saurait se perdre, ignorant toutes les tentations (il faudrait un autre mot) qui conduisent l’être à sa dispersion irrémédiable ?	False
Périodiques et collectifs 1915-1942	Campagne perdue 1972	120	0.4316	Ces lentes marches toute la nuit dans la neige pure ces pas l’un devant l’autre comme un nombre infini couleur de cendre sous la lune ces froides constellations dans le ciel figées et qui ne penchent à l’horizon vers les lampes des hommes qu’à l’heure où le jour incolore les éteint ce long moment terrible de l’hiver où toute chose accepte de n’être plus contre la neige éclatante que son propre signe  obscur comme le trait d’encre au feuillet ce monde que la lumière ne révèle plus  mais où elle se brise dans une lutte aveuglante parmi les flaques d’ombre gorgées de ciel ce monde sous l’effort du vent devenu rigide et fermé comme la face de qui va surprendre au profond de lui-même  sa seule vie : ce cœur qui bat et le coup sourd du sang à ses tempes ô frère  cette attente de toutes choses en un repli farouche cette longue attente terrible de l’hiver  la voici soudain qui se rompt  Ce pays vaste n’est plus qu’un ruissellement d’eaux précipitées des pans de neige mûre croulent des tuiles roses et s’écrasent comme un fruit de toutes parts  comme un enfant sans hâte éparpille et noie aux remous de l’étang les fleurs trop longtemps serrées dans ses mains impatientes les arbres laissent glisser aux plis de l’air tiède la rumeur minuscule des oiseaux et les jeunes hommes debout aux lisières des forêts parmi les troncs blessés en riant s’interrompent  sentant leur bras mollir d’une faiblesse inexplicable  et le soleil sournoisement à leur épaule pesant et chaud comme une main  Ô pays si longtemps couché sans un frisson sous le feu glacé de l’aurore et dans l’acharnement de midi   et qui tant de soirs (tes collines submergées une à une d’une douce ombre verte) es descendu silencieusement dans la nuit  sans une voix sur tes routes  vierge comme pour l’éternité voici qu’à toute heure aujourd’hui s’achève la ruine de ton masque solennel en vain pendant des mois cette patiente transfiguration en vain lentement durci ce fard qui d’un seul jour s’écaille !	Images Ces lentes marches toute la nuit dans la neige pure, Ces pas l’un devant l’autre comme un nombre infini couleur de cendre sous la lune, Ces froides constellations dans le ciel figées et qui ne penchent à l’horizon qu’à l’heure où le jour incolore les éteint, Ce long moment terrible de l’hiver où toute chose accepte de n’être plus contre la neige éclatante que son propre signe, obscur comme le trait d’encre au feuillet, Ce monde que la lumière ne révèle plus, mais où elle se brise dans une lutte aveuglante parmi les flaques d’ombre gorgées de ciel, Ce monde sous l’effort du vent devenu rigide et fermé comme la face de qui va surprendre au profond de lui-même sa seule vie : ce cœur qui bat et le coup sourd du sang à ses tempes, Ô frère, cette attente de toutes choses en un repli farouche, Cette longue attente terrible de l’hiver, la voici soudain qui se rompt !	False
Périodiques et collectifs 1943-1976	Campagne perdue 1972	77	0.3515	Ces lentes marches toute la nuit dans la neige pure ces pas l’un devant l’autre comme un nombre infini couleur de cendre sous la lune ces froides constellations dans le ciel figées et qui ne penchent à l’horizon vers les lampes des hommes qu’à l’heure où le jour incolore les éteint ce long moment terrible de l’hiver où toute chose accepte de n’être plus contre la neige éclatante que son propre signe obscur comme le trait d’encre au feuillet ce monde que la lumière ne révèle plus  mais où elle se brise dans une lutte aveuglante parmi les flaques d’ombre gorgées de ciel ce monde sous l’effort du vent devenu rigide et fermé comme la face de qui va surprendre au profond de lui-même sa seule vie : ce cœur qui bat et le coup sourd du sang à ses tempes ô frère, cette attente de toutes choses en un repli farouche cette longue attente terrible de l’hiver, la voici soudain qui se rompt Ce pays vaste n’est plus qu’un ruissellement d’eaux précipitées des pans de neige mûre croulent des tuiles roses et s’écrasent comme un fruit, de toutes parts, comme un enfant sans hâte éparpille et noie aux remous de l’étang les fleurs trop longtemps serrées dans ses mains impatientes les arbres laissent glisser aux plis de l’air tiède la rumeur minuscule des oiseaux et les jeunes hommes debout aux lisières des forêts parmi les troncs blessés en riant s’interrompent, sentant leur bras mollir d’une faiblesse inexplicable, et le soleil sournoisement à leur épaule pesant et chaud comme une main  [Peut-être certains s’étonneront-ils…] « Deux lettres à Gustave Roud », Revue de Belles-Lettres, « Edmond-Henri Crisinel (-) », no , , p. .	Ce pays vaste n’est plus qu’un ruissellement d’eaux précipitées, Des pans de neige mûre croulent des tuiles roses et s’écrasent comme un fruit ; De toutes parts, comme un enfant sans hâte éparpille et noie aux remous de l’étang les fleurs trop longtemps serrées dans ses mains impatientes, Les arbres laissent glisser aux plis de l’air tiède la rumeur minuscule des oiseaux Et les jeunes hommes debout aux lisières des forêts parmi les troncs blessés en riant s’interrompent, sentant leur bras mollir d’une faiblesse inexplicable et le soleil sournoisement à leur épaule pesant et chaud comme une main.	False
Périodiques et collectifs 1943-1976	Campagne perdue 1972	119	0.5265	Ces lentes marches toute la nuit dans la neige pure ces pas l’un devant l’autre comme un nombre infini couleur de cendre sous la lune ces froides constellations dans le ciel figées et qui ne penchent à l’horizon vers les lampes des hommes qu’à l’heure où le jour incolore les éteint ce long moment terrible de l’hiver où toute chose accepte de n’être plus contre la neige éclatante que son propre signe obscur comme le trait d’encre au feuillet ce monde que la lumière ne révèle plus  mais où elle se brise dans une lutte aveuglante parmi les flaques d’ombre gorgées de ciel ce monde sous l’effort du vent devenu rigide et fermé comme la face de qui va surprendre au profond de lui-même sa seule vie : ce cœur qui bat et le coup sourd du sang à ses tempes ô frère, cette attente de toutes choses en un repli farouche cette longue attente terrible de l’hiver, la voici soudain qui se rompt Ce pays vaste n’est plus qu’un ruissellement d’eaux précipitées des pans de neige mûre croulent des tuiles roses et s’écrasent comme un fruit, de toutes parts, comme un enfant sans hâte éparpille et noie aux remous de l’étang les fleurs trop longtemps serrées dans ses mains impatientes les arbres laissent glisser aux plis de l’air tiède la rumeur minuscule des oiseaux et les jeunes hommes debout aux lisières des forêts parmi les troncs blessés en riant s’interrompent, sentant leur bras mollir d’une faiblesse inexplicable, et le soleil sournoisement à leur épaule pesant et chaud comme une main  [Peut-être certains s’étonneront-ils…] « Deux lettres à Gustave Roud », Revue de Belles-Lettres, « Edmond-Henri Crisinel (-) », no , , p. .	Images Ces lentes marches toute la nuit dans la neige pure, Ces pas l’un devant l’autre comme un nombre infini couleur de cendre sous la lune, Ces froides constellations dans le ciel figées et qui ne penchent à l’horizon qu’à l’heure où le jour incolore les éteint, Ce long moment terrible de l’hiver où toute chose accepte de n’être plus contre la neige éclatante que son propre signe, obscur comme le trait d’encre au feuillet, Ce monde que la lumière ne révèle plus, mais où elle se brise dans une lutte aveuglante parmi les flaques d’ombre gorgées de ciel, Ce monde sous l’effort du vent devenu rigide et fermé comme la face de qui va surprendre au profond de lui-même sa seule vie : ce cœur qui bat et le coup sourd du sang à ses tempes, Ô frère, cette attente de toutes choses en un repli farouche, Cette longue attente terrible de l’hiver, la voici soudain qui se rompt !	False
